store_nbr,family,order,seasonal_order,aic,rmse,mae,mape,error
44,GROCERY I,"(0, 1, 2)","(0, 0, 2, 7)",30129.954755580387,2828.27,2416.69,23.88,
45,GROCERY I,"(0, 1, 2)","(0, 0, 2, 7)",30347.904640311514,3058.75,2439.82,21.8,
47,GROCERY I,"(5, 1, 0)","(2, 0, 0, 7)",28797.51292766502,5851.55,5225.01,46.38,
46,GROCERY I,"(5, 1, 0)","(2, 0, 0, 7)",29231.38336976598,4940.41,3972.52,34.56,
44,BEVERAGES,"(2, 1, 0)","(2, 0, 1, 7)",28753.8188045309,18271.15,14287.66,153.74,
3,GROCERY I,"(5, 1, 0)","(2, 0, 0, 7)",27855.278168985766,1575.96,1122.08,12.16,
48,GROCERY I,"(1, 1, 0)","(2, 0, 1, 7)",29081.6501944192,48382.22,38207.44,493.87,
45,BEVERAGES,"(2, 1, 1)","(2, 0, 1, 7)",28346.601477110817,3185.29,2731.08,28.42,
3,BEVERAGES,"(1, 1, 0)","(1, 0, 1, 7)",27694.74974086741,1453.81,1092.97,12.42,
49,GROCERY I,"(1, 1, 1)","(1, 0, 2, 7)",27599.479036433142,1217.26,925.64,11.0,
11,GROCERY I,"(0, 1, 2)","(2, 0, 0, 7)",28194.139340668164,2484.98,1836.73,21.49,
47,BEVERAGES,"(5, 1, 0)","(2, 0, 0, 7)",28223.76436112535,6106.59,5320.93,54.68,
44,PRODUCE,"(4, 1, 0)","(1, 0, 2, 7)",28449.37189243828,1198.87,982.36,10.52,
9,GROCERY I,"(4, 1, 0)","(2, 0, 0, 7)",28746.460643739032,2510.17,1892.96,24.14,
50,GROCERY I,"(4, 1, 0)","(2, 0, 0, 7)",27300.157901859002,4586.24,4206.92,58.74,
49,BEVERAGES,"(2, 1, 0)","(2, 0, 1, 7)",27076.19731880682,12591.14,10511.32,149.9,
3,PRODUCE,"(1, 1, 2)","(2, 0, 2, 7)",27550.00740814262,16912.66,13404.78,170.78,
51,GROCERY I,"(0, 1, 3)","(0, 0, 2, 7)",26582.360595772712,1126.94,873.54,16.58,
49,PRODUCE,,,,,,,Input contains NaN.
8,GROCERY I,"(5, 1, 0)","(2, 0, 0, 7)",26290.17298157044,860.51,687.44,13.38,
46,BEVERAGES,"(5, 1, 0)","(1, 0, 1, 7)",27558.11360171061,2820.37,2474.03,38.95,
6,GROCERY I,"(5, 1, 0)","(2, 0, 0, 7)",26446.009393381588,2097.54,1846.63,34.28,
40,GROCERY I,"(0, 1, 3)","(0, 0, 2, 7)",26256.687647387167,1303.74,1001.68,17.9,
39,GROCERY I,"(1, 1, 1)","(0, 0, 2, 7)",27016.44784400924,1756.21,1228.13,19.53,
45,PRODUCE,"(2, 1, 1)","(2, 0, 1, 7)",27250.710515674426,1433.4,1297.07,21.55,
51,BEVERAGES,"(1, 1, 1)","(1, 0, 2, 7)",26004.67705632662,5873.8,4737.48,101.56,
31,GROCERY I,"(0, 1, 2)","(0, 0, 2, 7)",27337.155941132864,1127.11,877.06,18.77,
2,GROCERY I,"(3, 1, 3)","(1, 0, 0, 7)",30613.274194250153,842.03,713.5,17.99,
17,GROCERY I,"(1, 1, 0)","(1, 0, 2, 7)",26135.024225658894,1205.39,821.68,16.35,
47,PRODUCE,,,,,,,Input contains NaN.
34,GROCERY I,"(1, 1, 1)","(0, 0, 2, 7)",26230.38521459876,730.88,595.58,16.62,
8,BEVERAGES,"(1, 1, 0)","(2, 0, 1, 7)",25916.65404778075,756.47,581.13,12.6,
24,GROCERY I,"(1, 1, 2)","(0, 0, 0, 7)",27734.499828686166,770.79,552.57,12.32,
38,GROCERY I,"(2, 1, 0)","(2, 0, 1, 7)",26070.392210920123,721.92,527.09,12.62,
48,BEVERAGES,"(0, 1, 1)","(1, 0, 1, 7)",26954.505433388236,1212.13,917.18,18.17,
7,GROCERY I,"(1, 1, 4)","(0, 0, 2, 7)",25250.604464298514,643.84,518.52,13.66,
28,GROCERY I,"(2, 1, 0)","(1, 0, 2, 7)",26913.662641091607,5865.37,4771.73,98.31,
11,BEVERAGES,"(4, 1, 1)","(0, 0, 2, 7)",25896.330820473424,980.66,788.23,16.98,
37,GROCERY I,"(5, 1, 1)","(0, 0, 2, 7)",25432.307925388857,549.17,417.34,12.2,
51,PRODUCE,"(3, 1, 0)","(2, 0, 1, 7)",26213.006981507686,1459.21,1290.0,25.2,
4,GROCERY I,"(5, 1, 0)","(2, 0, 0, 7)",25494.469227321886,861.49,602.54,14.8,
7,BEVERAGES,"(5, 1, 3)","(0, 0, 0, 7)",24742.011448405057,640.82,505.55,12.76,
7,PRODUCE,"(0, 1, 1)","(2, 0, 1, 7)",25740.478104539012,552.0,448.53,8.47,
43,GROCERY I,"(0, 1, 3)","(0, 0, 2, 7)",25447.852360135497,1098.24,817.33,16.44,
50,BEVERAGES,"(3, 1, 1)","(1, 0, 1, 7)",25615.42889338683,1049.02,858.37,17.71,
36,GROCERY I,"(0, 1, 2)","(1, 0, 1, 7)",25621.28909077664,795.29,612.35,14.95,
27,GROCERY I,"(0, 1, 1)","(0, 0, 1, 7)",26021.165413852388,1095.23,856.15,21.65,
5,GROCERY I,"(2, 0, 2)","(2, 0, 0, 7)",24774.557415220574,450.91,363.96,12.25,
33,GROCERY I,"(2, 1, 5)","(0, 0, 2, 7)",25627.259958861705,859.71,554.51,16.65,
8,PRODUCE,"(5, 1, 0)","(2, 0, 1, 7)",25957.33253142433,1345.28,1203.38,26.72,
